Date,Day,TimeOfDay,Location,Distance,Time,Pace,Elevation,Terrain,Race,Min.Temp,Avg.Temp,Max.Temp
9/30/2019,Monday,Evening,Austin,7.19,1.12,6.4,297,Road,No,,,
9/29/2019,Sunday,Morning,Austin,14.69,2.27,6.5,816,Road,No,,,
9/28/2019,Saturday,Morning,Austin,9.2,1.61,5.7,305,Mixed,No,,,
9/27/2019,Friday,Evening,Austin,6.01,0.84,7.2,266,Road,No,,,
9/27/2019,Friday,Midday,Austin,7.01,1,7,179,Road,No,,,
9/26/2019,Thursday,Morning,Austin,8.25,1.38,6,646,Road,No,,,
9/25/2019,Wednesday,Morning,Austin,5.16,0.89,5.8,228,Road,No,,,
9/24/2019,Tuesday,Evening,Austin,2.82,0.36,7.8,98,Road,No,,,
9/24/2019,Tuesday,Morning,Austin,7.22,1.17,6.2,310,Road,No,,,
9/23/2019,Monday,Morning,Austin,6.04,1.1,5.5,158,Road,No,,,
9/22/2019,Sunday,Evening,Austin,6,1.12,5.4,243,Road,No,,,
9/21/2019,Saturday,Morning,Austin,10.67,1.99,5.4,451,Trail,No,,,
9/20/2019,Friday,Evening,Austin,10.01,1.42,7.1,260,Trail,No,,,
9/19/2019,Thursday,Afternoon,Austin,6.2,0.77,8.1,0,Treadmill,No,72,72,72
9/19/2019,Thursday,Morning,Austin,4.22,0.63,6.7,125,Road,No,,,
9/18/2019,Wednesday,Morning,Austin,7.24,1.14,6.3,248,Mixed,No,,,
9/17/2019,Tuesday,Morning,Austin,7.15,1.12,6.4,612,Road,No,,,
9/16/2019,Monday,Morning,Austin,7.09,1.17,6.1,254,Mixed,No,,,
9/15/2019,Sunday,Afternoon,Austin,4.84,0.84,5.8,188,Road,No,,,
9/14/2019,Saturday,Morning,Austin,25.96,4.65,5.6,1645,Trail,Yes,,,
9/12/2019,Thursday,Morning,Austin,4.04,0.64,6.4,129,Road,No,,,
9/11/2019,Wednesday,Evening,Austin,3.62,0.6,6.1,120,Road,No,,,
9/10/2019,Tuesday,Evening,Austin,5.64,0.91,6.2,170,Road,No,,,
9/9/2019,Monday,Morning,Austin,7.11,1.29,5.5,653,Road,No,,,
9/8/2019,Sunday,Morning,Austin,6.55,1.2,5.5,410,Mixed,No,,,
